OpenTime,Open,High,Low,Close,BaseVolume,CloseTime,QuoteVolume,TradeCount,TakerBuyBaseVolume,TakerBuyQuoteVolume
1641856680,41697.18000000,41757.18000000,41682.00000000,41682.00000000,6.81652000,1641856739,284380.94656290,346,2.78216000,116060.80847850
1641856740,41750.00000000,41790.00000000,41740.00000000,41740.00000000,23.22394000,1641856799,970108.33575050,540,17.74117000,741115.04590480
1641856800,41758.54000000,41773.01000000,41750.69000000,41750.69000000,9.45351000,1641856859,394780.59362950,376,6.49846000,271382.70455170
1641856860,41757.80000000,41760.26000000,41744.59000000,41744.59000000,1.67281000,1641856919,69845.06622940,222,0.49736000,20765.89774760
1641856920,41753.51000000,41791.18000000,41748.77000000,41748.77000000,27.65264000,1641856979,1155241.15148440,485,16.03681000,670031.27755090
1641856980,41756.23000000,41800.00000000,41756.22000000,41756.22000000,9.21844000,1641857039,385217.13398050,321,5.99273000,250427.90543480
1641857040,41798.70000000,41811.87000000,41783.29000000,41783.29000000,22.15570000,1641857099,926003.36816510,386,14.91624000,623421.31191980
1641857100,41800.31000000,41820.75000000,41771.57000000,41771.57000000,12.26566000,1641857159,512703.01066350,355,6.50720000,272035.70363460
1641857160,41776.44000000,41790.80000000,41756.36000000,41756.36000000,13.83218000,1641857219,577740.83090860,342,4.71903000,197101.01574680
1641857220,41759.34000000,41772.28000000,41750.00000000,41750.00000000,13.50934000,1641857279,564167.12381950,269,6.30204000,263184.73957880